Rank,Time,ID,Página,Tier
1,Vitality,9565,https://www.hltv.org/team/9565/vitality,1
2,MOUZ,4494,https://www.hltv.org/team/4494/mouz,1
3,Spirit,7020,https://www.hltv.org/team/7020/spirit,1
4,Falcons,11283,https://www.hltv.org/team/11283/falcons,1
5,The MongolZ,6248,https://www.hltv.org/team/6248/the-mongolz,1
6,Aurora,11861,https://www.hltv.org/team/11861/aurora,1
7,Natus Vincere,4608,https://www.hltv.org/team/4608/natus-vincere,2
8,G2,5995,https://www.hltv.org/team/5995/g2,2
9,GamerLegion,9928,https://www.hltv.org/team/9928/gamerlegion,2
10,Liquid,5973,https://www.hltv.org/team/5973/liquid,2
11,FaZe,6667,https://www.hltv.org/team/6667/faze,2
12,HEROIC,7175,https://www.hltv.org/team/7175/heroic,2
13,Virtus.pro,5378,https://www.hltv.org/team/5378/virtuspro,2
14,Astralis,6665,https://www.hltv.org/team/6665/astralis,2
15,FURIA,8297,https://www.hltv.org/team/8297/furia,2
16,3DMAX,4914,https://www.hltv.org/team/4914/3dmax,2
17,MIBR,9215,https://www.hltv.org/team/9215/mibr,2
18,B8,11241,https://www.hltv.org/team/11241/b8,2
19,Complexity,5005,https://www.hltv.org/team/5005/complexity,2
20,Ninjas in Pyjamas,4411,https://www.hltv.org/team/4411/ninjas-in-pyjamas,2
21,Legacy,12468,https://www.hltv.org/team/12468/legacy,3
22,paiN,4773,https://www.hltv.org/team/4773/pain,3
23,TYLOO,4863,https://www.hltv.org/team/4863/tyloo,3
24,Lynn Vision,8840,https://www.hltv.org/team/8840/lynn-vision,3
25,BIG,7532,https://www.hltv.org/team/7532/big,3
26,Wildcard,12257,https://www.hltv.org/team/12257/wildcard,3
27,FlyQuest,12774,https://www.hltv.org/team/12774/flyquest,3
28,BetBoom,12394,https://www.hltv.org/team/12394/betboom,3
29,Nemiga,7969,https://www.hltv.org/team/7969/nemiga,3
30,OG,10503,https://www.hltv.org/team/10503/og,3
31,M80,12376,https://www.hltv.org/team/12376/m80,3
32,NRG,6673,https://www.hltv.org/team/6673/nrg,3
33,ENCE,4869,https://www.hltv.org/team/4869/ence,3
34,ODDIK,11768,https://www.hltv.org/team/11768/oddik,3
35,HOTU,11581,https://www.hltv.org/team/11581/hotu,3
36,Imperial,9455,https://www.hltv.org/team/9455/imperial,3
37,Chinggis Warriors,12646,https://www.hltv.org/team/12646/chinggis-warriors,3
38,SAW,10567,https://www.hltv.org/team/10567/saw,3
39,NAVI Junior,10371,https://www.hltv.org/team/10371/navi-junior,3
40,Fluxo,11837,https://www.hltv.org/team/11837/fluxo,3
41,ECSTATIC,11419,https://www.hltv.org/team/11419/ecstatic,3
42,JiJieHao,10245,https://www.hltv.org/team/10245/jijiehao,3
43,Passion UA,12426,https://www.hltv.org/team/12426/passion-ua,3
44,PARIVISION,12467,https://www.hltv.org/team/12467/parivision,3
45,fnatic,4991,https://www.hltv.org/team/4991/fnatic,3
46,TNL,12833,https://www.hltv.org/team/12833/tnl,3
47,Astrum,13235,https://www.hltv.org/team/13235/astrum,3
48,Rare Atom,11514,https://www.hltv.org/team/11514/rare-atom,3
49,Nexus,7187,https://www.hltv.org/team/7187/nexus,3
50,Spirit Academy,7900,https://www.hltv.org/team/7900/spirit-academy,3
51,9INE,10278,https://www.hltv.org/team/10278/9ine,3
52,Eruption,12097,https://www.hltv.org/team/12097/eruption,3
53,Sashi,11712,https://www.hltv.org/team/11712/sashi,3
54,Sharks,8113,https://www.hltv.org/team/8113/sharks,3
55,BESTIA,12144,https://www.hltv.org/team/12144/bestia,3
56,CYBERSHOKE,12380,https://www.hltv.org/team/12380/cybershoke,3
57,TPuDCATb TPu,13297,https://www.hltv.org/team/13297/tpudcatb-tpu,3
58,Metizport,11641,https://www.hltv.org/team/11641/metizport,3
59,Zero Tenacity,11523,https://www.hltv.org/team/11523/zero-tenacity,3
60,The Huns,12510,https://www.hltv.org/team/12510/the-huns,3
61,9z,9996,https://www.hltv.org/team/9996/9z,4
62,Partizan,11838,https://www.hltv.org/team/11838/partizan,4
63,Betclic,12916,https://www.hltv.org/team/12916/betclic,4
64,Iberian Soul,13104,https://www.hltv.org/team/13104/iberian-soul,4
65,Betera,12431,https://www.hltv.org/team/12431/betera,4
66,FAVBET,12818,https://www.hltv.org/team/12818/favbet,4
67,500,12000,https://www.hltv.org/team/12000/500,4
68,Tricked,4602,https://www.hltv.org/team/4602/tricked,4
69,SINNERS,10577,https://www.hltv.org/team/10577/sinners,4
70,BC.Game,12878,https://www.hltv.org/team/12878/bcgame,4
71,Fire Flux,12960,https://www.hltv.org/team/12960/fire-flux,4
72,Bounty Hunters,12776,https://www.hltv.org/team/12776/bounty-hunters,4
73,Alliance,12474,https://www.hltv.org/team/12474/alliance,4
74,RUBY,12694,https://www.hltv.org/team/12694/ruby,4
75,Kubix,12847,https://www.hltv.org/team/12847/kubix,4
76,ARCRED,10459,https://www.hltv.org/team/10459/arcred,4
77,BLUEJAYS,5347,https://www.hltv.org/team/5347/bluejays,4
78,ECLOT,7441,https://www.hltv.org/team/7441/eclot,4
79,Sangal,10333,https://www.hltv.org/team/10333/sangal,4
80,Johnny Speeds,12604,https://www.hltv.org/team/12604/johnny-speeds,4
81,GameHunters,12988,https://www.hltv.org/team/12988/gamehunters,4
82,Monte,11811,https://www.hltv.org/team/11811/monte,4
83,AMKAL,12586,https://www.hltv.org/team/12586/amkal,4
84,GUN5,12471,https://www.hltv.org/team/12471/gun5,4
85,Marsborne,13124,https://www.hltv.org/team/13124/marsborne,4
86,NinJa,13211,https://www.hltv.org/team/13211/ninja,4
87,M1,11034,https://www.hltv.org/team/11034/m1,4
88,LFO 4,13219,https://www.hltv.org/team/13219/lfo-4,4
89,1win,10621,https://www.hltv.org/team/10621/1win,4
90,ESC,4532,https://www.hltv.org/team/4532/esc,4
91,Getting Info,13106,https://www.hltv.org/team/13106/getting-info,4
92,Rhyno,10947,https://www.hltv.org/team/10947/rhyno,4
93,SPARTA,13214,https://www.hltv.org/team/13214/sparta,4
94,SemperFi,12901,https://www.hltv.org/team/12901/semperfi,4
95,NomadS,12900,https://www.hltv.org/team/12900/nomads,4
96,Eternal Fire,11251,https://www.hltv.org/team/11251/eternal-fire,4
97,Insilio,12124,https://www.hltv.org/team/12124/insilio,4
98,kONO,12858,https://www.hltv.org/team/12858/kono,4
99,Bad News Eagles,11518,https://www.hltv.org/team/11518/bad-news-eagles,4
100,NOVAQ,13178,https://www.hltv.org/team/13178/novaq,4
