split,teamname,side,date,league,result,gamelength,firstblood,firstdragon,firsttower,totalKills,totalDragons,totalBarons,totalTowers,totalInhibitors
Spring,Fnatic,Blue,2014-01-14,EU LCS,1,32.07,1,0,1,26,0,1,11,2.0
Spring,Gambit Gaming,Red,2014-01-14,EU LCS,0,32.07,0,1,0,26,0,1,11,2.0
Spring,Copenhagen Wolves,Blue,2014-01-14,EU LCS,1,41.23,0,0,0,23,0,1,14,1.0
Spring,Alliance,Red,2014-01-14,EU LCS,0,41.23,1,1,1,23,0,1,14,1.0
Spring,Alliance,Blue,2014-01-14,EU LCS,0,43.82,0,1,1,23,0,1,12,3.0
Spring,Fnatic,Red,2014-01-14,EU LCS,1,43.82,1,0,0,23,0,1,12,3.0
Spring,Gambit Gaming,Blue,2014-01-14,EU LCS,1,30.62,0,0,1,31,0,2,13,1.0
Spring,Copenhagen Wolves,Red,2014-01-14,EU LCS,0,30.62,1,1,0,31,0,2,13,1.0
Spring,SK Gaming,Blue,2014-01-14,EU LCS,0,50.72,0,0,1,37,0,2,13,4.0
Spring,Millenium,Red,2014-01-14,EU LCS,1,50.72,1,1,0,37,0,2,13,4.0
Spring,SUPA HOT CREW,Blue,2014-01-15,EU LCS,1,42.43,0,1,0,34,0,1,14,3.0
Spring,Alliance,Red,2014-01-15,EU LCS,0,42.43,1,0,1,34,0,1,14,3.0
Spring,Fnatic,Blue,2014-01-15,EU LCS,1,29.75,0,1,0,25,0,0,11,2.0
Spring,SK Gaming,Red,2014-01-15,EU LCS,0,29.75,1,0,1,25,0,0,11,2.0
Spring,Copenhagen Wolves,Blue,2014-01-15,EU LCS,0,55.53,0,0,1,29,0,3,19,5.0
Spring,SK Gaming,Red,2014-01-15,EU LCS,1,55.53,1,1,0,29,0,3,19,5.0
Spring,Team ROCCAT,Blue,2014-01-15,EU LCS,1,29.4,1,1,1,14,0,1,9,3.0
Spring,Millenium,Red,2014-01-15,EU LCS,0,29.4,0,0,0,14,0,1,9,3.0
Spring,SK Gaming,Blue,2014-01-16,EU LCS,1,40.67,0,0,1,28,0,1,9,1.0
Spring,SUPA HOT CREW,Red,2014-01-16,EU LCS,0,40.67,1,1,0,28,0,1,9,1.0
Spring,Gambit Gaming,Blue,2014-01-16,EU LCS,1,46.2,0,0,1,39,0,2,14,2.0
Spring,SUPA HOT CREW,Red,2014-01-16,EU LCS,0,46.2,1,1,0,39,0,2,14,2.0
Spring,Alliance,Blue,2014-01-16,EU LCS,0,46.38,1,0,0,27,0,1,14,3.0
Spring,Team ROCCAT,Red,2014-01-16,EU LCS,1,46.38,0,1,1,27,0,1,14,3.0
Spring,Cloud9,Blue,2014-01-17,NA LCS,1,47.47,0,1,1,26,0,3,15,5.0
Spring,TSM,Red,2014-01-17,NA LCS,0,47.47,1,0,0,26,0,3,15,5.0
Spring,Evil Geniuses,Blue,2014-01-17,NA LCS,0,30.25,1,0,0,26,0,1,11,3.0
Spring,XDG Gaming,Red,2014-01-17,NA LCS,1,30.25,0,1,1,26,0,1,11,3.0
Spring,Team Curse,Blue,2014-01-17,NA LCS,1,38.28,1,1,1,23,0,2,11,1.0
Spring,Team Coast,Red,2014-01-17,NA LCS,0,38.28,0,0,0,23,0,2,11,1.0
Spring,XDG Gaming,Blue,2014-01-17,NA LCS,0,36.42,0,0,0,28,0,1,14,3.0
Spring,Cloud9,Red,2014-01-17,NA LCS,1,36.42,1,1,1,28,0,1,14,3.0
Spring,TSM,Blue,2014-01-18,NA LCS,1,39.3,1,0,1,43,0,2,12,2.0
Spring,Evil Geniuses,Red,2014-01-18,NA LCS,0,39.3,0,1,0,43,0,2,12,2.0
Spring,Counter Logic Gaming,Blue,2014-01-18,NA LCS,1,39.78,1,0,0,23,0,1,13,3.0
